model,params,split,L,order,nR5,abs_beta_sum,gamma_sum,alpha_sum,r_op,r_gamma,r_alpha
Heis XXZ,Δ=0.5,even/odd,4,AB,0.370947578407046,2.283785563879595,2.286450439726349,56.642576059230045,0.16242662370494035,0.1622373142063129,0.040366286260276225
Heis XXZ,Δ=0.5,even/odd,4,BA,0.7372968449733996,2.718865690819654,2.7214838307033364,117.99633629264801,0.271178104701129,0.27091722414637814,0.02306413839793858
Heis XXZ,Δ=0.5,even/odd,6,AB,1.5108560764178136,5.901965420233293,5.908164624417593,187.54376841885437,0.25599202449378167,0.25572342215612326,0.03150285756881287
Heis XXZ,Δ=0.5,even/odd,6,BA,1.7793076585934573,6.080850801551364,6.087080462876594,217.9917789635695,0.29260833996116387,0.29230887770335195,0.02792344047017415
Heis XXZ,Δ=0.5,even/odd,8,AB,2.302351385392147,8.72793872112138,8.737216094294842,277.6464140149113,0.26379096588069734,0.26351086668161017,0.031468859863702764
Heis XXZ,Δ=0.5,even/odd,8,BA,2.562992560078733,9.046695463359734,9.055938352101926,327.11190789316265,0.28330704514805194,0.28301788952481666,0.027684526712673716
Heis XXX,Δ=1.0,even/odd,4,AB,0.8264452334737536,5.973704739491462,5.980646730877189,148.27463425306433,0.1383471847897371,0.13818659931992636,0.04033492822966508
Heis XXX,Δ=1.0,even/odd,4,BA,1.7476321893067435,7.0832177662085805,7.090046057734746,306.12681665166156,0.24672856983785704,0.24649095013990757,0.023160486674391658
Heis XXX,Δ=1.0,even/odd,6,AB,3.747431137654848,15.862759581913583,15.879293720208931,498.24620695450164,0.2362408078054463,0.23599482468704794,0.031870375526328855
Heis XXX,Δ=1.0,even/odd,6,BA,4.483039049810551,16.347278822081382,16.363914736208308,578.2917911520494,0.27423763297870746,0.2739588369946077,0.02829698603123655
Heis XXX,Δ=1.0,even/odd,8,AB,5.796615127788859,23.420305415053114,23.444986346700112,736.830076696087,0.24750382307410712,0.2472432716346936,0.03181871518033897
Heis XXX,Δ=1.0,even/odd,8,BA,6.447299939400541,24.230145595308656,24.254757662874244,864.0811751426497,0.266085893460287,0.2658158877121727,0.028069998931373626
Heis XXZ,Δ=2.0,even/odd,4,AB,4.140097746733642,24.40845696791616,24.43719961368249,606.2571069346417,0.16961734828939076,0.16941784706033108,0.04030831034252432
Heis XXZ,Δ=2.0,even/odd,4,BA,8.300626366773702,29.221311413318,29.249482671201584,1282.674963097323,0.2840607065633126,0.28378711719733496,0.022803503235591167
Heis XXZ,Δ=2.0,even/odd,6,AB,15.885334716921633,62.14631036977607,62.212042574471724,1995.467137896332,0.25561187176523403,0.25534179653249434,0.031176681085340805
Heis XXZ,Δ=2.0,even/odd,6,BA,18.57825477407699,64.10869494290232,64.1746381893557,2325.1569083124396,0.2897930583460403,0.2894952787931489,0.027600132257711844
Heis XXZ,Δ=2.0,even/odd,8,AB,23.851107888360033,91.37213478344958,91.470067144362,2938.100030887551,0.261032621650865,0.2607531472641994,0.031132386978917945
Heis XXZ,Δ=2.0,even/odd,8,BA,26.811972545934974,94.92570615124068,95.02315700169272,3482.2444625528733,0.282452179004249,0.28216251061262204,0.02728790526441965
TFIM,h=0.5,even/odd,4,AB,0.009221484863972855,0.041385247095443216,0.04142766008568566,1.2195520598845875,0.22282058248211356,0.22259246225589072,0.03396957083538211
TFIM,h=0.5,even/odd,4,BA,0.011311469119229516,0.043363565469276874,0.04340550642066644,1.4684974125888786,0.2608519155843793,0.26059986513240735,0.029557768402291542
TFIM,h=0.5,even/odd,6,AB,0.01841172417471303,0.07751858356589413,0.07759753159731751,2.389069091857848,0.23751368159432729,0.23727203424792329,0.03248023753761519
TFIM,h=0.5,even/odd,6,BA,0.020476018577419007,0.07953329667350598,0.07961177254355399,2.6511879262096976,0.25745215442879976,0.25719837560728837,0.03002871722389439
TFIM,h=0.5,even/odd,8,AB,0.028189668143464703,0.11254008621950927,0.11265449726149866,3.529626734795679,0.25048557443328057,0.2502311832081553,0.03191683022766427
TFIM,h=0.5,even/odd,8,BA,0.029646676070286506,0.11458328440366981,0.11469721758621731,3.794907114069268,0.25873473800805974,0.2584777267853185,0.030223985499141195
TFIM,h=1.0,even/odd,4,AB,0.08040788764562753,0.13533226026539782,0.1354841886127101,4.100649225919982,0.5941516641186734,0.593485398325545,0.033039692289777406
TFIM,h=1.0,even/odd,4,BA,0.09301845932841639,0.14816590792790488,0.14831410681823054,5.830404123788018,0.6277993408151467,0.6271720291746564,0.025438049176232876
TFIM,h=1.0,even/odd,6,AB,0.15640591176393465,0.2445799460474931,0.24485163716394384,8.096483253119263,0.6394878823530502,0.6387782968312803,0.030241727118945367
TFIM,h=1.0,even/odd,6,BA,0.17068780759462876,0.25730276995338186,0.25757068466801897,9.907784139149427,0.6633733776964547,0.6626833632663868,0.02599680019776159
TFIM,h=1.0,even/odd,8,AB,0.23484547550121254,0.3392295003392101,0.3396086741148419,11.755792073308758,0.6922908392883887,0.6915178951577583,0.02888862545348307
TFIM,h=1.0,even/odd,8,BA,0.24756793186656087,0.3523818928871507,0.35275731882559885,13.604571917484222,0.702555769361974,0.7018080664938862,0.02592932147848363
TFIM,h=2.0,even/odd,4,AB,1.0706144354658595,1.2258276732422773,1.2271858876224346,34.50257952456885,0.8733808665243432,0.8724142334622845,0.03556794606468688
TFIM,h=2.0,even/odd,4,BA,1.22061719299366,1.3795261427850831,1.3808570262763302,53.516817156271344,0.884809033433316,0.8839562458433666,0.02580230102706164
TFIM,h=2.0,even/odd,6,AB,2.094047982503072,2.325074835179704,2.327537809355861,69.74462476399624,0.9006368099722795,0.8996837662897487,0.033372289509504806
TFIM,h=2.0,even/odd,6,BA,2.251466688319936,2.4775512960567347,2.479986710564489,89.06278607884289,0.9087467500282902,0.9078543359643497,0.027845375377871955
TFIM,h=2.0,even/odd,8,AB,3.1262938902923625,3.4228852942904635,3.426452192607001,104.98491174572185,0.9133504694145522,0.9123996818159998,0.032637567966966735
TFIM,h=2.0,even/odd,8,BA,3.2826907794853026,3.5776627363016535,3.5812021362324153,124.50071752606563,0.9175517709304055,0.9166449294422794,0.028764510015636256
TFIM,h=0.5,ZZ/field,4,AB,0.09306412366831486,0.17975872668810475,0.17996262589083048,4.7006593539656,0.5177168607218068,0.5171302830664948,0.03828454953644094
TFIM,h=0.5,ZZ/field,4,BA,0.12315039728150792,0.20483453458526688,0.2050345945102678,8.583164356175264,0.6012189181421644,0.6006322863498079,0.02388799584884485
TFIM,h=0.5,ZZ/field,6,AB,0.1681819347742687,0.30653828346731415,0.30689481999402246,7.873504294121582,0.5486490394345859,0.548011643785791,0.03897817395275347
TFIM,h=0.5,ZZ/field,6,BA,0.22296592972905363,0.35898611258537594,0.3593362863468635,15.517945476241339,0.6210990395235044,0.6204937775580699,0.023156176627700056
TFIM,h=0.5,ZZ/field,8,AB,0.2404866052504191,0.4538370143611916,0.4543611623339324,11.489916816572816,0.5298964113557846,0.5292851264291679,0.03954433870909939
TFIM,h=0.5,ZZ/field,8,BA,0.32066621660094213,0.5315389874028806,0.5320538512321857,22.78359424094931,0.6032788265781391,0.6026950389670329,0.02335249853931813
TFIM,h=1.0,ZZ/field,4,AB,0.5118009033829912,0.9832867760259114,0.984269806685432,34.34800214298264,0.520500138780982,0.5199802939262165,0.028655809516610276
TFIM,h=1.0,ZZ/field,4,BA,0.48282610949121807,0.9320935989232313,0.9330745636481879,28.96381024619847,0.5180017436542705,0.5174571554104285,0.032215187011545035
TFIM,h=1.0,ZZ/field,6,AB,0.8838319560392247,1.5917245526918151,1.5933533489820773,54.969931239067556,0.5552668987511369,0.5546992803597932,0.028985907623796856
TFIM,h=1.0,ZZ/field,6,BA,0.8548195205849289,1.5605064515348066,1.5621380563420861,50.491831325618264,0.5477833941309165,0.5472112513452112,0.03093843133294112
TFIM,h=1.0,ZZ/field,8,AB,1.2449965105321446,2.342684427913289,2.3450614555401477,78.82952607542902,0.5314401272736109,0.5309014429412381,0.02974851647967852
TFIM,h=1.0,ZZ/field,8,BA,1.2123490709017475,2.299143050420841,2.301518202382847,74.00292304188336,0.5273047584750483,0.5267605833603912,0.031100368847325924
TFIM,h=2.0,ZZ/field,4,AB,5.003532131551702,8.163868175244279,8.171643435832259,370.1639130784815,0.6128874234794938,0.6123042654567449,0.02207574306169527
TFIM,h=2.0,ZZ/field,4,BA,3.5022250068898586,6.54274563787744,6.550681729278631,154.70749241917835,0.535283686807979,0.5346351954845359,0.04234236898837211
TFIM,h=2.0,ZZ/field,6,AB,8.116409956127098,12.780952380687612,12.793329880451477,580.377598839156,0.6350395271318926,0.6344251287172054,0.022043114527576693
TFIM,h=2.0,ZZ/field,6,BA,5.818317196025146,10.536345661068825,10.549019330449854,257.06815718053554,0.5522139632836349,0.5515505293682146,0.04103588498143478
TFIM,h=2.0,ZZ/field,8,AB,11.22903497216959,18.44981208219534,18.467534754744868,815.4320029697626,0.6086259806952705,0.6080419027929275,0.02264754717436528
TFIM,h=2.0,ZZ/field,8,BA,8.121016506196774,15.255369314235438,15.273423533697226,371.96893799564293,0.5323382435991705,0.5317089837965703,0.04106101873989309
LTFIM,"hx=1, hz=0.5",ZZ/field,4,AB,0.7719525925409939,1.1363401522025427,1.1374546594395432,40.67828224355901,0.6793323205597686,0.6786666933355896,0.027962209727271547
LTFIM,"hx=1, hz=0.5",ZZ/field,4,BA,0.7048377173087027,1.0432344037971393,1.0443481309280587,31.1994417215909,0.6756273707454925,0.6749068595376807,0.03347329545981395
LTFIM,"hx=1, hz=0.5",ZZ/field,6,AB,1.341303778058727,1.8748650432098413,1.8767321124567569,65.90225348562558,0.7154135082503662,0.7147017782430751,0.028477510452144167
LTFIM,"hx=1, hz=0.5",ZZ/field,6,BA,1.2418515288988208,1.767317070016317,1.7691850814476466,54.621598193495004,0.7026761354641107,0.7019342079702979,0.03238984467609998
LTFIM,"hx=1, hz=0.5",ZZ/field,8,AB,1.9052441156401678,2.6844143289927214,2.6870829558144975,92.8171118798598,0.7097429391069734,0.7090380710120868,0.02895029700226605
LTFIM,"hx=1, hz=0.5",ZZ/field,8,BA,1.7677629069685779,2.5388204306302065,2.5414849994245943,78.78366918303365,0.6962930050668331,0.6955629906801767,0.03225903319532003
